,Name,Subs,Identifier,Type,Full_identifier,Nr_featured,Featured
0,funk,168000,FunkOfficial,c,/c/FunkOfficial,12,"['/channel/UC-2D0N8RCgWIHG6IbqCqmzQ', '/channel/UC146qqkUMTrn4nfSSOTNwiA', '/channel/UC1SiZtRQ4_9yZKu-fMb3Otg', '/user/alwaysxcaro', '/user/Nisi156', '/channel/UC3ZkjIfabQzVypsQBd9-AIQ', '/user/coldmirror', '/channel/UCLoWcRy-ZjA-Erh0p_VDLjQ', '/channel/UCUueEx_ceEQrjlR9ctPNKyg', '/channel/UCF_oOFgq8qwi7HRGTJSsZ-g', '/channel/UC6zXbTQEujMO-5CzyywlVDQ', '/channel/UCyHDQ5C6z1NDmJ4g6SerW8g']"
1,Ypsilon,19200,UC-2D0N8RCgWIHG6IbqCqmzQ,channel,/channel/UC-2D0N8RCgWIHG6IbqCqmzQ,7,"['/user/alwaysxcaro', '/user/Dimxoo', '/channel/UClimlKiB3xLJlpP1BbzfXSA', '/channel/UCUueEx_ceEQrjlR9ctPNKyg', '/channel/UC6Nh0xrtXJfNGucGtVrqjHw', '/channel/UCeWYsa2ynPc0VNwqL-vF2wQ', '/channel/UC5sgxwQGzW8BFTqLSMrklJw']"
2,alwaysxcaro,95200,alwaysxcaro,user,/user/alwaysxcaro,11,"['/channel/UC-0NMMeN8FRZTQJ4eLA6snQ', '/channel/UC-2D0N8RCgWIHG6IbqCqmzQ', '/user/crazyhitii', '/channel/UC-PdGWiopIA-FFbutDGkD8Q', '/channel/UC098RYk8HPI1hP-Z7R4izrA', '/user/MagnoliaSchlossallee', '/user/coldmirror', '/channel/UCPiI104i7lyG--fkr3LZTtA', '/user/TwinTVChannel1', '/channel/UCZoFvJwucEgUxDS6Xoz1p2A', '/channel/UCFBapHA35loZ3KZwT_z3BsQ']"
3,eve in lowercase,21300,UC-0NMMeN8FRZTQJ4eLA6snQ,channel,/channel/UC-0NMMeN8FRZTQJ4eLA6snQ,1,['/channel/UCM8qRGoiaLwmMv31L7xeeEQ']
4,Eve Cornwell,375000,UCM8qRGoiaLwmMv31L7xeeEQ,channel,/channel/UCM8qRGoiaLwmMv31L7xeeEQ,6,"['/channel/UC-0NMMeN8FRZTQJ4eLA6snQ', '/channel/UCnQhwPVwcP-DnbUZtIMrupw', '/channel/UCuwUl4_fcRio_valO7_lxjA', '/user/codyko69', '/channel/UCUu64gYXG6IxLykJwIn_LKw', '/user/Chuntzit']"
5,bestdressed,3810000,UCnQhwPVwcP-DnbUZtIMrupw,channel,/channel/UCnQhwPVwcP-DnbUZtIMrupw,1,['/channel/UC5kg4QWKmOwr-0yR5LKKZZg']
6,bestmess,538000,UC5kg4QWKmOwr-0yR5LKKZZg,channel,/channel/UC5kg4QWKmOwr-0yR5LKKZZg,1,['/channel/UCnQhwPVwcP-DnbUZtIMrupw']
7,Mike's Mic,518000,UCuwUl4_fcRio_valO7_lxjA,channel,/channel/UCuwUl4_fcRio_valO7_lxjA,10,"['/channel/UCpvL1GWi5SN7VTZpEdGjSug', '/channel/UCvYsX1hQ88kHCvTEsZkRU2g', '/channel/UCTXV1vamTrEVSDgAhhBM4qQ', '/channel/UCM8qRGoiaLwmMv31L7xeeEQ', '/channel/UC78cxCAcp7JfQPgKxYdyGrg', '/channel/UCTz67lUTnS7EcH7MlSv930w', '/user/LarryVonVanity', '/user/twaimz', '/user/Kurzgesagt', '/channel/UCDkRPbUAnjbzCvLPgPsvpIw']"
8,Jumping In An Elevator,58900,UCpvL1GWi5SN7VTZpEdGjSug,channel,/channel/UCpvL1GWi5SN7VTZpEdGjSug,0,[]
9,caroline ricke,325000,UCvYsX1hQ88kHCvTEsZkRU2g,channel,/channel/UCvYsX1hQ88kHCvTEsZkRU2g,1,['/channel/UC6jmtwJ1j9jrOCA_Txm-Pyg']
